geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa05016	Huntington disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05016+23186+9586+146754+196385+55567+1639+8701+27019+1767+1768+1770+56171+7052+201625+5438+6648	-0.7370550702639402	-1.7749053914478012	0	0.009282709516573444	27	./Project_1733748563_GSEA/hsa05016.png	16	23186;9586;146754;196385;55567;1639;8701;27019;1767;1768;1770;56171;7052;201625;5438;6648	CREB5;DCTN1;DNAH10;DNAH11;DNAH12;DNAH2;DNAH3;DNAH5;DNAH6;DNAH7;DNAH9;DNAI1;POLR2I;RCOR1;SOD2;TGM2
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+3569+6364+5594+5602+23118+5743+9586+1435+7412+6376+6885+7187+3553+3627+7124+1906+1326+3726+6347+2921+3659+2919+2920+7128+3383+330	-0.6895719199268838	-1.7979794841224952	0	0.009771273175340468	54	./Project_1733748563_GSEA/hsa04668.png	26	3569;6364;5594;5602;23118;5743;9586;1435;7412;6376;6885;7187;3553;3627;7124;1906;1326;3726;6347;2921;3659;2919;2920;7128;3383;330	BIRC3;CCL2;CCL20;CREB5;CSF1;CX3CL1;CXCL1;CXCL10;CXCL2;CXCL3;EDN1;ICAM1;IL1B;IL6;IRF1;JUNB;MAP3K7;MAP3K8;MAPK1;MAPK10;PTGS2;TAB2;TNF;TNFAIP3;TRAF3;VCAM1
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+3569+6364+5594+5602+23118+5743+6885+7187+3553+3627+225689+7124+3934+6347+2354+2921+2919+2920+7128+8061	-0.6720835627332602	-1.6950791272842507	0	0.036805128960449095	41	./Project_1733748563_GSEA/hsa04657.png	20	3569;6364;5594;5602;23118;5743;6885;7187;3553;3627;225689;7124;3934;6347;2354;2921;2919;2920;7128;8061	CCL2;CCL20;CXCL1;CXCL10;CXCL2;CXCL3;FOSB;FOSL1;IL1B;IL6;LCN2;MAP3K7;MAPK1;MAPK10;MAPK15;PTGS2;TAB2;TNF;TNFAIP3;TRAF3
hsa05143	African trypanosomiasis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05143+5578+3569+3040+7064+335+3043+7412+3553+4615+7124+3383	-0.703660896776368	-1.6572628158700438	0.0010638297861023088	0.0605818936871109	21	./Project_1733748563_GSEA/hsa05143.png	11	5578;3569;3040;7064;335;3043;7412;3553;4615;7124;3383	APOA1;HBA2;HBB;ICAM1;IL1B;IL6;MYD88;PRKCA;THOP1;TNF;VCAM1
hsa04612	Antigen processing and presentation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04612+3111+10437+3113+3115+3117+5641+7124+3303+1520+3304+3308	-0.670380466822843	-1.5958108266600206	0.004237288131104568	0.0907506996159746	24	./Project_1733748563_GSEA/hsa04612.png	11	3111;10437;3113;3115;3117;5641;7124;3303;1520;3304;3308	CTSS;HLA-DOA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HSPA1A;HSPA1B;HSPA4;IFI30;LGMN;TNF
hsa00450	Selenocompound metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00450+9061+4141+7296	-0.7945332228110273	-1.619894259989131	0.00463499420088645	0.09360879701976167	9	./Project_1733748563_GSEA/hsa00450.png	3	9061;4141;7296	MARS;PAPSS1;TXNRD1
hsa05132	Salmonella infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05132+3569+5594+5602+2318+3553+9475+4615+79659+4628+2921+2316+2919+2920	-0.6611687829175852	-1.5972388470864842	0.004250797019924764	0.1013420617899597	27	./Project_1733748563_GSEA/hsa05132.png	13	3569;5594;5602;2318;3553;9475;4615;79659;4628;2921;2316;2919;2920	CXCL1;CXCL2;CXCL3;DYNC2H1;FLNA;FLNC;IL1B;IL6;MAPK1;MAPK10;MYD88;MYH10;ROCK2
hsa05134	Legionellosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05134+3553+4615+7124+3303+718+3304+2921+2919+2920	-0.6854252343146632	-1.6022568506657007	0.005313496274905955	0.11025253232842493	23	./Project_1733748563_GSEA/hsa05134.png	9	3553;4615;7124;3303;718;3304;2921;2919;2920	C3;CXCL1;CXCL2;CXCL3;HSPA1A;HSPA1B;IL1B;MYD88;TNF
hsa04115	p53 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04115+5054+1021+898+896+842+7161+891+25898+3486+64065+894+595+7057+4616	-0.6366446111415116	-1.554910525631246	0	0.13025107142728842	31	./Project_1733748563_GSEA/hsa04115.png	14	5054;1021;898;896;842;7161;891;25898;3486;64065;894;595;7057;4616	CASP9;CCNB1;CCND1;CCND2;CCND3;CCNE1;CDK6;GADD45B;IGFBP3;PERP;RCHY1;SERPINE1;THBS1;TP73
hsa05145	Toxoplasmosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05145+3913+7189+3654+842+240+5594+5602+23118+3111+6885+3113+3115+3909+4615+3117+6772+7124+3303+3304+3914+3918+330+3949	-0.6029190122842724	-1.5559323790522666	0	0.14146632163854034	53	./Project_1733748563_GSEA/hsa05145.png	23	3913;7189;3654;842;240;5594;5602;23118;3111;6885;3113;3115;3909;4615;3117;6772;7124;3303;3304;3914;3918;330;3949	ALOX5;BIRC3;CASP9;HLA-DOA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HSPA1A;HSPA1B;IRAK1;LAMA3;LAMB2;LAMB3;LAMC2;LDLR;MAP3K7;MAPK1;MAPK10;MYD88;STAT1;TAB2;TNF;TRAF6
