userId	geneSymbol	geneName	entrezgene	score	gLink
A2M	A2M	alpha-2-macroglobulin	2	-3.7160842	https://www.ncbi.nlm.nih.gov/gene/?term=2
A2M-AS1	A2M-AS1	A2M antisense RNA 1	144571	0.27078938	https://www.ncbi.nlm.nih.gov/gene/?term=144571
A2ML1	A2ML1	alpha-2-macroglobulin like 1	144568	-0.3974757	https://www.ncbi.nlm.nih.gov/gene/?term=144568
AACS	AACS	acetoacetyl-CoA synthetase	65985	1.2922107	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAT	AADAT	aminoadipate aminotransferase	51166	-0.18908346	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAR2	AAR2	AAR2 splicing factor homolog	25980	-0.4722227	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	1.7627228	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AASDH	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	1.8435605	https://www.ncbi.nlm.nih.gov/gene/?term=132949
AASS	AASS	aminoadipate-semialdehyde synthase	10157	10.497365	https://www.ncbi.nlm.nih.gov/gene/?term=10157
ABAT	ABAT	4-aminobutyrate aminotransferase	18	0.6210169	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	-2.2216237	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	0.002591782	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	-1.680019	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	-0.19558883	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA6	ABCA6	ATP binding cassette subfamily A member 6	23460	0.06920058	https://www.ncbi.nlm.nih.gov/gene/?term=23460
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	-0.85926646	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCA8	ABCA8	ATP binding cassette subfamily A member 8	10351	-1.9432793	https://www.ncbi.nlm.nih.gov/gene/?term=10351
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	-0.11977921	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	1.2054119	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	-0.7931112	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	-0.3319684	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	-1.8492754	https://www.ncbi.nlm.nih.gov/gene/?term=4363
ABCC10	ABCC10	ATP binding cassette subfamily C member 10	89845	-0.5852892	https://www.ncbi.nlm.nih.gov/gene/?term=89845
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	-2.3225996	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC4	ABCC4	ATP binding cassette subfamily C member 4	10257	2.1775506	https://www.ncbi.nlm.nih.gov/gene/?term=10257
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	2.1594727	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	-0.735768	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCD2	ABCD2	ATP binding cassette subfamily D member 2	225	-1.7749041	https://www.ncbi.nlm.nih.gov/gene/?term=225
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	-2.6672807	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	-0.23595583	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABHD13	ABHD13	abhydrolase domain containing 13	84945	-0.24474198	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD15	ABHD15	abhydrolase domain containing 15	116236	0.089559026	https://www.ncbi.nlm.nih.gov/gene/?term=116236
ABHD3	ABHD3	abhydrolase domain containing 3	171586	-1.16879	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4	63874	1.1503106	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD6	ABHD6	abhydrolase domain containing 6	57406	-2.7578247	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ABI3	ABI3	ABI family member 3	51225	-1.3341717	https://www.ncbi.nlm.nih.gov/gene/?term=51225
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	9.608176	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	1.3909835	https://www.ncbi.nlm.nih.gov/gene/?term=25
ABL2	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	0.4838857	https://www.ncbi.nlm.nih.gov/gene/?term=27
ABLIM3	ABLIM3	actin binding LIM protein family member 3	22885	-0.6639627	https://www.ncbi.nlm.nih.gov/gene/?term=22885
ABR	ABR	ABR, RhoGEF and GTPase activating protein	29	-3.6239593	https://www.ncbi.nlm.nih.gov/gene/?term=29
ABTB1	ABTB1	ankyrin repeat and BTB domain containing 1	80325	-2.88512	https://www.ncbi.nlm.nih.gov/gene/?term=80325
ACAA1	ACAA1	acetyl-CoA acyltransferase 1	30	-0.08837977	https://www.ncbi.nlm.nih.gov/gene/?term=30
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	-1.5922225	https://www.ncbi.nlm.nih.gov/gene/?term=31
ACAD10	ACAD10	acyl-CoA dehydrogenase family member 10	80724	1.1358485	https://www.ncbi.nlm.nih.gov/gene/?term=80724
ACAD8	ACAD8	acyl-CoA dehydrogenase family member 8	27034	0.0016976172	https://www.ncbi.nlm.nih.gov/gene/?term=27034
ACADL	ACADL	acyl-CoA dehydrogenase long chain	33	-0.20990843	https://www.ncbi.nlm.nih.gov/gene/?term=33
ACAP1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	0.6529736	https://www.ncbi.nlm.nih.gov/gene/?term=9744
ACBD4	ACBD4	acyl-CoA binding domain containing 4	79777	2.4619079	https://www.ncbi.nlm.nih.gov/gene/?term=79777
ACCS	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	0.7505801	https://www.ncbi.nlm.nih.gov/gene/?term=84680
ACE	ACE	angiotensin I converting enzyme	1636	-1.6343777	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ACER3	ACER3	alkaline ceramidase 3	55331	1.4936829	https://www.ncbi.nlm.nih.gov/gene/?term=55331
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	-0.37122095	https://www.ncbi.nlm.nih.gov/gene/?term=26027
ACOT4	ACOT4	acyl-CoA thioesterase 4	122970	-0.354491	https://www.ncbi.nlm.nih.gov/gene/?term=122970
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	-0.77988017	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACOX2	ACOX2	acyl-CoA oxidase 2	8309	4.9958153	https://www.ncbi.nlm.nih.gov/gene/?term=8309
ACOX3	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	-1.0888854	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ACOXL	ACOXL	acyl-CoA oxidase like	55289	0.5804944	https://www.ncbi.nlm.nih.gov/gene/?term=55289
ACP2	ACP2	acid phosphatase 2, lysosomal	53	-0.09482034	https://www.ncbi.nlm.nih.gov/gene/?term=53
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	-0.32722545	https://www.ncbi.nlm.nih.gov/gene/?term=54
ACP6	ACP6	acid phosphatase 6, lysophosphatidic	51205	-3.057642	https://www.ncbi.nlm.nih.gov/gene/?term=51205
ACPP	ACPP	acid phosphatase, prostate	55	-1.7928911	https://www.ncbi.nlm.nih.gov/gene/?term=55
ACRBP	ACRBP	acrosin binding protein	84519	0.33643922	https://www.ncbi.nlm.nih.gov/gene/?term=84519
ACSBG1	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	-0.90235484	https://www.ncbi.nlm.nih.gov/gene/?term=23205
ACSF2	ACSF2	acyl-CoA synthetase family member 2	80221	1.8728994	https://www.ncbi.nlm.nih.gov/gene/?term=80221
ACSF3	ACSF3	acyl-CoA synthetase family member 3	197322	2.3777785	https://www.ncbi.nlm.nih.gov/gene/?term=197322
ACSL1	ACSL1	acyl-CoA synthetase long chain family member 1	2180	-0.6604379	https://www.ncbi.nlm.nih.gov/gene/?term=2180
ACSL5	ACSL5	acyl-CoA synthetase long chain family member 5	51703	1.8697375	https://www.ncbi.nlm.nih.gov/gene/?term=51703
ACSS1	ACSS1	acyl-CoA synthetase short chain family member 1	84532	-2.1158013	https://www.ncbi.nlm.nih.gov/gene/?term=84532
ACSS2	ACSS2	acyl-CoA synthetase short chain family member 2	55902	-1.470305	https://www.ncbi.nlm.nih.gov/gene/?term=55902
