geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+2920+3726+2921+330+3659+2919+6347+1906+3383+7128+3725+3627+7124+1435+5743+3569+6885+1326	0.8007991162406299	2.1722891158996407	0	0	54	./Project_1733748596_GSEA/hsa04668.png	18	2920;3726;2921;330;3659;2919;6347;1906;3383;7128;3725;3627;7124;1435;5743;3569;6885;1326	BIRC3;CCL2;CSF1;CXCL1;CXCL10;CXCL2;CXCL3;EDN1;ICAM1;IL6;IRF1;JUN;JUNB;MAP3K7;MAP3K8;PTGS2;TNF;TNFAIP3
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+2920+2354+2921+2919+6347+7128+8061+3934+3725+3627+7124+5743+3569+6885	0.7717291500277215	2.02140294975066	0	0	41	./Project_1733748596_GSEA/hsa04657.png	14	2920;2354;2921;2919;6347;7128;8061;3934;3725;3627;7124;5743;3569;6885	CCL2;CXCL1;CXCL10;CXCL2;CXCL3;FOSB;FOSL1;IL6;JUN;LCN2;MAP3K7;PTGS2;TNF;TNFAIP3
hsa05323	Rheumatoid arthritis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05323+2919+6347+3383+3725+3123+3127+3119+7124+3115+1435+3113+3109+3569+51561+7042+3552+3553+6387	0.7660953133288186	1.9930569774324989	0	4.490169665668634e-4	42	./Project_1733748596_GSEA/hsa05323.png	18	2919;6347;3383;3725;3123;3127;3119;7124;3115;1435;3113;3109;3569;51561;7042;3552;3553;6387	CCL2;CSF1;CXCL1;CXCL12;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;ICAM1;IL1A;IL1B;IL23A;IL6;JUN;TGFB2;TNF
hsa05168	Herpes simplex infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05168+10482+718+6347+3725+3123+3127+3119+7124+3115+8740+3113+8863+3109+3569+6885	0.6958347815256473	1.936855612473208	0	0.0010102881747754426	55	./Project_1733748596_GSEA/hsa05168.png	15	10482;718;6347;3725;3123;3127;3119;7124;3115;8740;3113;8863;3109;3569;6885	C3;CCL2;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;IL6;JUN;MAP3K7;NXF1;PER3;TNF;TNFSF14
hsa05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+718+3383+3123+3127+3119+716+715+3115+629+3113+1675+3109	0.7558302114449617	1.9198915885282173	0	0.0016164610796407081	37	./Project_1733748596_GSEA/hsa05150.png	12	718;3383;3123;3127;3119;716;715;3115;629;3113;1675;3109	C1R;C1S;C3;CFB;CFD;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;ICAM1
hsa05166	Human T-cell leukemia virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05166+467+1958+1959+894+3383+8061+3725+4609+3123+3127+3119+7494+7124+3115+8829+3113+114+3109+3569+595+7042+3554	0.6435538992858788	1.9140251700341615	0	0.0017960678662674535	97	./Project_1733748596_GSEA/hsa05166.png	22	467;1958;1959;894;3383;8061;3725;4609;3123;3127;3119;7494;7124;3115;8829;3113;114;3109;3569;595;7042;3554	ADCY8;ATF3;CCND1;CCND2;EGR1;EGR2;FOSL1;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;ICAM1;IL1R1;IL6;JUN;MYC;NRP1;TGFB2;TNF;XBP1
hsa05310	Asthma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05310+3123+3127+3119+7124+3115+3113+3109	0.8613627470384257	1.8659413046426332	0	0.0035513160083015553	15	./Project_1733748596_GSEA/hsa05310.png	7	3123;3127;3119;7124;3115;3113;3109	HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;TNF
hsa05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05169+4616+894+3383+7128+3725+4609+3123+3127+3627+3119+7124+3115+3113+3109+3569+6885+6850+1021+595+4794+898+7187+10018	0.6468183773466165	1.8610659706318295	0	0.003704389974176623	75	./Project_1733748596_GSEA/hsa05169.png	23	4616;894;3383;7128;3725;4609;3123;3127;3627;3119;7124;3115;3113;3109;3569;6885;6850;1021;595;4794;898;7187;10018	BCL2L11;CCND1;CCND2;CCNE1;CDK6;CXCL10;GADD45B;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;ICAM1;IL6;JUN;MAP3K7;MYC;NFKBIE;SYK;TNF;TNFAIP3;TRAF3
hsa05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05167+2920+2921+718+2919+3383+3725+4609+5743+3569+6850+1021+595+7314+1827+7187	0.6680766982002296	1.8696581040989817	0	0.0037717425191616523	59	./Project_1733748596_GSEA/hsa05167.png	15	2920;2921;718;2919;3383;3725;4609;5743;3569;6850;1021;595;7314;1827;7187	C3;CCND1;CDK6;CXCL1;CXCL2;CXCL3;ICAM1;IL6;JUN;MYC;PTGS2;RCAN1;SYK;TRAF3;UBB
hsa05145	Toxoplasmosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05145+330+3949+3304+3123+3127+3119+7124+3115+3113+3303+3913+3109+6885+3914	0.679144135939217	1.869912515650994	0	0.004190825021290725	53	./Project_1733748596_GSEA/hsa05145.png	14	330;3949;3304;3123;3127;3119;7124;3115;3113;3303;3913;3109;6885;3914	BIRC3;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQB1;HLA-DRB1;HLA-DRB5;HSPA1A;HSPA1B;LAMB2;LAMB3;LDLR;MAP3K7;TNF
